Name,Addl. Info,Allegiance,Campaign Awareness,"Campaign Organizations, Clans, & Families",Characters,Enounters (scripted & random),Files & media,GM Description and Info,Level,Link to more information,Location Relation,Main or Side Quest,Notable Relationship NPCs,Org. Explanation,Organizations,Originated Quest,Player Description,Quest Status,Quests Associated,Quests Home,Quests and Missions Explained,Relgion Cont.,Religion,Rollup,Strengths,Title,Voice/Style,Weaknesses
Aric Silverthorn,,,,"Surface Traders Consortium (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Surface%20Traders%20Consortium%205056cea2e9534afbb3826955466f0573.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Isadora Nightshade,,,,"The Velvet Syndicate (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Velvet%20Syndicate%2074a26dc8e2c64e829d3416041593238f.csv), Shadow Scale Clan (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Shadow%20Scale%20Clan%201443846ecefb44bcb93499994b2a6ce3.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Garuuk Blackmane,,,,"The Iron Circle (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Iron%20Circle%203bcce08bbd6344af9ff639b2a6d256a7.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Seraphine Moonwhisper,,,,"The Twisted Court (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Twisted%20Court%205d3fdfb8679b4159847a9dfec5cb4e46.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Kaelin Shadowbane,,,,"The Silent Blade (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Silent%20Blade%2056c26c51de7d4b7e9cd98b57c6f57da9.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Captain Finnegan Greybeard,,,,"The Rusty Anchor (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Rusty%20Anchor%20fbe653d64cb6449d918eeb8365bfc257.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Grommash Ironfist,,,,"Iron Fist Guild (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Iron%20Fist%20Guild%208409a3e8b372440aae85cb56796adace.csv), Deepstone Miners (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Deepstone%20Miners%20aa57404be7264171bf770c816d50a993.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Eryndoriel,,,,"Emberweave Guild (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Emberweave%20Guild%208652920dab5d4fed8ba347e9478fbeb4.csv)",,,,,,,,,,,,,,,,,,,,,,,,
The Spider,,,,"Shadow Fang Assassins (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Shadow%20Fang%20Assassins%20260e0a05c11b47e5a00cdcff35dc7f82.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Zogrin Blackfire,,,,"Blackfire Alchemists (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Blackfire%20Alchemists%2012817ec1170049d19caf0e664eec671f.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Hulgar Stonecutter,,,,"Stonecutter's Guild (Multi-city) (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Stonecutter's%20Guild%20(Multi-city)%20e2e83f6ceb6a478e8032bd833b642403.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Iron Lord,,,,"Deeper than Stone (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Deeper%20than%20Stone%201e58ba2e4d9f4e2b8bc70baa300b8bf9.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Thorgar Ironhammer,,,,"Iron Hammer Clan (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Iron%20Hammer%20Clan%20c3ab6f936a414b78b3aaa37cd23180b0.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Grommash Stonefist,,,,"Deepstone Miners (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Deepstone%20Miners%20aa57404be7264171bf770c816d50a993.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Balin Fireforge,,,,"Brotherhood of the Forge (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Brotherhood%20of%20the%20Forge%20065156f70816422f9c4024d823939f00.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Kethar Steelheart,,,,"The Steel Syndicate (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Steel%20Syndicate%20ed894fffe2164d31ad6738ed1736b25d.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Zara Nightshade,,,,"Shadow Scale Clan (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Shadow%20Scale%20Clan%201443846ecefb44bcb93499994b2a6ce3.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Grik Stonefin,,,,"Masters of the Deep (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Masters%20of%20the%20Deep%20d56e5e79cda14a7cb80eeba73ba48ac0.csv)",,,,,,,,,,,,,,,,,,,,,,,,
" Brik Ironwheel",,,,"Iron Gears (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Iron%20Gears%20751d69ae15dc433b95c01747b76dfde9.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Throgmar Stonehammer,,,,"Stonecutter's Guild (Multi-city) (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Stonecutter's%20Guild%20(Multi-city)%20e2e83f6ceb6a478e8032bd833b642403.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Adelaine Stormheart,,,,"The Deep Delvers Guild (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Deep%20Delvers%20Guild%205351299bd1c14f738e60324b9f0b2f3e.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Glim Fastfoot,,,,"The Merchants Guild (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Merchants%20Guild%20954d896e99a94fe1b62c8fef89043a41.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Veysha Shadewhisper,,,,,,,,,,,Murkhold Crossing (Locations/Murkhold%20Crossing%206c98eb8ff8364152b1011207787d4791.csv),,,,,,,,,,,,,,,,,
Thurl,,,,,,Borins Stash (Encounters/Enounters%20(scripted%20&%20random)/Borins%20Stash%201019d8fc6e5080ebb125d7e274246340.csv),,,,,,,,,,,,,,,,,,,,,,
Borin,,,,,,Borins Stash (Encounters/Enounters%20(scripted%20&%20random)/Borins%20Stash%201019d8fc6e5080ebb125d7e274246340.csv),,,,,,,,,,,,,,,,,,,,,,
